Start Time,End Time,Sleep
02:40:00.000,02:40:30.000,N3
02:40:30.000,02:41:00.000,N3
02:41:00.000,02:41:30.000,N3
02:41:30.000,02:42:00.000,N3
02:42:00.000,02:42:30.000,N3
02:42:30.000,02:43:00.000,N3
02:43:00.000,02:43:30.000,N3
02:43:30.000,02:44:00.000,N3
02:44:00.000,02:44:30.000,N3
02:44:30.000,02:45:00.000,N3
02:45:00.000,02:45:30.000,N3
02:45:30.000,02:46:00.000,N3
02:46:00.000,02:46:30.000,N3
02:46:30.000,02:47:00.000,N3
02:47:00.000,02:47:30.000,N3
02:47:30.000,02:48:00.000,N3
02:48:00.000,02:48:30.000,N2
02:48:30.000,02:49:00.000,N2
02:49:00.000,02:49:30.000,N2
02:49:30.000,02:50:00.000,N2
02:50:00.000,02:50:30.000,N2
02:50:30.000,02:51:00.000,N2
02:51:00.000,02:51:30.000,N2
02:51:30.000,02:52:00.000,N2
02:52:00.000,02:52:30.000,N2
02:52:30.000,02:53:00.000,N2
02:53:00.000,02:53:30.000,N2
02:53:30.000,02:54:00.000,N2
02:54:00.000,02:54:30.000,N2
02:54:30.000,02:55:00.000,N2
02:55:00.000,02:55:30.000,N1
02:55:30.000,02:56:00.000,N1
02:56:00.000,02:56:30.000,N2
02:56:30.000,02:57:00.000,N2
02:57:00.000,02:57:30.000,N2
02:57:30.000,02:58:00.000,N2
02:58:00.000,02:58:30.000,N2
02:58:30.000,02:59:00.000,N2
02:59:00.000,02:59:30.000,N2
02:59:30.000,03:00:00.000,N2
03:00:00.000,03:00:30.000,N2
03:00:30.000,03:01:00.000,N2
03:01:00.000,03:01:30.000,N2
03:01:30.000,03:02:00.000,N2
03:02:00.000,03:02:30.000,N2
03:02:30.000,03:03:00.000,N2
03:03:00.000,03:03:30.000,N2
03:03:30.000,03:04:00.000,N2
03:04:00.000,03:04:30.000,N2
03:04:30.000,03:05:00.000,N2
03:05:00.000,03:05:30.000,N2
03:05:30.000,03:06:00.000,N2
03:06:00.000,03:06:30.000,N2
03:06:30.000,03:07:00.000,N1
03:07:00.000,03:07:30.000,N1
03:07:30.000,03:08:00.000,N1
03:08:00.000,03:08:30.000,N1
03:08:30.000,03:09:00.000,N1
03:09:00.000,03:09:30.000,Wake
03:09:30.000,03:10:00.000,Wake
03:10:00.000,03:10:30.000,Wake
03:10:30.000,03:11:00.000,Wake
03:11:00.000,03:11:30.000,Wake
03:11:30.000,03:12:00.000,Wake
03:12:00.000,03:12:30.000,Wake
03:12:30.000,03:13:00.000,Wake
03:13:00.000,03:13:30.000,Wake
03:13:30.000,03:14:00.000,Wake
03:14:00.000,03:14:30.000,Wake
03:14:30.000,03:15:00.000,Wake
03:15:00.000,03:15:30.000,Wake
03:15:30.000,03:16:00.000,Wake
03:16:00.000,03:16:30.000,Wake
03:16:30.000,03:17:00.000,Wake
03:17:00.000,03:17:30.000,Wake
03:17:30.000,03:18:00.000,Wake
03:18:00.000,03:18:30.000,Wake
03:18:30.000,03:19:00.000,Wake
03:19:00.000,03:19:30.000,Wake
03:19:30.000,03:20:00.000,Wake
03:20:00.000,03:20:30.000,Wake
03:20:30.000,03:21:00.000,Wake
03:21:00.000,03:21:30.000,Wake
03:21:30.000,03:22:00.000,Wake
03:22:00.000,03:22:30.000,Wake
03:22:30.000,03:23:00.000,Wake
03:23:00.000,03:23:30.000,Wake
03:23:30.000,03:24:00.000,Wake
03:24:00.000,03:24:30.000,Wake
03:24:30.000,03:25:00.000,Wake
03:25:00.000,03:25:30.000,Wake
03:25:30.000,03:26:00.000,Wake
03:26:00.000,03:26:30.000,Wake
03:26:30.000,03:27:00.000,Wake
03:27:00.000,03:27:30.000,Wake
03:27:30.000,03:28:00.000,Wake
03:28:00.000,03:28:30.000,Wake
03:28:30.000,03:29:00.000,Wake
03:29:00.000,03:29:30.000,Wake
03:29:30.000,03:30:00.000,Wake
03:30:00.000,03:30:30.000,Wake
03:30:30.000,03:31:00.000,Wake
03:31:00.000,03:31:30.000,Wake
03:31:30.000,03:32:00.000,Wake
03:32:00.000,03:32:30.000,Wake
03:32:30.000,03:33:00.000,Wake
03:33:00.000,03:33:30.000,Wake
03:33:30.000,03:34:00.000,Wake
03:34:00.000,03:34:30.000,Wake
03:34:30.000,03:35:00.000,Wake
03:35:00.000,03:35:30.000,Wake
03:35:30.000,03:36:00.000,Wake
03:36:00.000,03:36:30.000,Wake
03:36:30.000,03:37:00.000,Wake
03:37:00.000,03:37:30.000,Wake
03:37:30.000,03:38:00.000,Wake
03:38:00.000,03:38:30.000,Wake
03:38:30.000,03:39:00.000,Wake
03:39:00.000,03:39:30.000,Wake
03:39:30.000,03:40:00.000,Wake
03:40:00.000,03:40:30.000,Wake
03:40:30.000,03:41:00.000,Wake
03:41:00.000,03:41:30.000,Wake
03:41:30.000,03:42:00.000,Wake
03:42:00.000,03:42:30.000,Wake
03:42:30.000,03:43:00.000,Wake
03:43:00.000,03:43:30.000,Wake
03:43:30.000,03:44:00.000,Wake
03:44:00.000,03:44:30.000,Wake
03:44:30.000,03:45:00.000,Wake
03:45:00.000,03:45:30.000,Wake
03:45:30.000,03:46:00.000,Wake
03:46:00.000,03:46:30.000,Wake
03:46:30.000,03:47:00.000,Wake
03:47:00.000,03:47:30.000,Wake
03:47:30.000,03:48:00.000,Wake
03:48:00.000,03:48:30.000,Wake
03:48:30.000,03:49:00.000,Wake
03:49:00.000,03:49:30.000,Wake
03:49:30.000,03:50:00.000,Wake
03:50:00.000,03:50:30.000,Wake
03:50:30.000,03:51:00.000,Wake
03:51:00.000,03:51:30.000,Wake
03:51:30.000,03:52:00.000,Wake
03:52:00.000,03:52:30.000,Wake
03:52:30.000,03:53:00.000,Wake
03:53:00.000,03:53:30.000,Wake
03:53:30.000,03:54:00.000,Wake
03:54:00.000,03:54:30.000,Wake
03:54:30.000,03:55:00.000,Wake
03:55:00.000,03:55:30.000,Wake
03:55:30.000,03:56:00.000,Wake
03:56:00.000,03:56:30.000,Wake
03:56:30.000,03:57:00.000,N1
03:57:00.000,03:57:30.000,N1
03:57:30.000,03:58:00.000,N1
03:58:00.000,03:58:30.000,N2
03:58:30.000,03:59:00.000,N2
03:59:00.000,03:59:30.000,N2
03:59:30.000,04:00:00.000,N2
04:00:00.000,04:00:30.000,N2
04:00:30.000,04:01:00.000,Wake
04:01:00.000,04:01:30.000,Wake
04:01:30.000,04:02:00.000,Wake
04:02:00.000,04:02:30.000,Wake
04:02:30.000,04:03:00.000,Wake
04:03:00.000,04:03:30.000,Wake
04:03:30.000,04:04:00.000,Wake
04:04:00.000,04:04:30.000,Wake
04:04:30.000,04:05:00.000,Wake
04:05:00.000,04:05:30.000,Wake
04:05:30.000,04:06:00.000,Wake
04:06:00.000,04:06:30.000,Wake
04:06:30.000,04:07:00.000,Wake
04:07:00.000,04:07:30.000,Wake
04:07:30.000,04:08:00.000,Wake
04:08:00.000,04:08:30.000,Wake
04:08:30.000,04:09:00.000,Wake
04:09:00.000,04:09:30.000,Wake
04:09:30.000,04:10:00.000,Wake
04:10:00.000,04:10:30.000,Wake
04:10:30.000,04:11:00.000,Wake
04:11:00.000,04:11:30.000,Wake
04:11:30.000,04:12:00.000,Wake
04:12:00.000,04:12:30.000,Wake
04:12:30.000,04:13:00.000,Wake
04:13:00.000,04:13:30.000,Wake
04:13:30.000,04:14:00.000,N1
04:14:00.000,04:14:30.000,N1
04:14:30.000,04:15:00.000,N1
04:15:00.000,04:15:30.000,N1
04:15:30.000,04:16:00.000,N2
04:16:00.000,04:16:30.000,N2
04:16:30.000,04:17:00.000,N2
04:17:00.000,04:17:30.000,N2
04:17:30.000,04:18:00.000,N2
04:18:00.000,04:18:30.000,N2
04:18:30.000,04:19:00.000,N2
04:19:00.000,04:19:30.000,N2
04:19:30.000,04:20:00.000,N2
04:20:00.000,04:20:30.000,N2
04:20:30.000,04:21:00.000,N2
04:21:00.000,04:21:30.000,N2
04:21:30.000,04:22:00.000,N2
04:22:00.000,04:22:30.000,N2
04:22:30.000,04:23:00.000,N2
04:23:00.000,04:23:30.000,N2
04:23:30.000,04:24:00.000,Wake
04:24:00.000,04:24:30.000,Wake
04:24:30.000,04:25:00.000,Wake
04:25:00.000,04:25:30.000,Wake
04:25:30.000,04:26:00.000,Wake
04:26:00.000,04:26:30.000,Wake
04:26:30.000,04:27:00.000,Wake
04:27:00.000,04:27:30.000,Wake
04:27:30.000,04:28:00.000,Wake
04:28:00.000,04:28:30.000,Wake
04:28:30.000,04:29:00.000,Wake
04:29:00.000,04:29:30.000,Wake
04:29:30.000,04:30:00.000,Wake
04:30:00.000,04:30:30.000,Wake
04:30:30.000,04:31:00.000,N1
04:31:00.000,04:31:30.000,N1
04:31:30.000,04:32:00.000,N1
04:32:00.000,04:32:30.000,N1
04:32:30.000,04:33:00.000,N1
04:33:00.000,04:33:30.000,N1
04:33:30.000,04:34:00.000,N1
04:34:00.000,04:34:30.000,N2
04:34:30.000,04:35:00.000,N2
04:35:00.000,04:35:30.000,N2
04:35:30.000,04:36:00.000,N2
04:36:00.000,04:36:30.000,N2
04:36:30.000,04:37:00.000,N2
04:37:00.000,04:37:30.000,N2
04:37:30.000,04:38:00.000,N2
04:38:00.000,04:38:30.000,N2
04:38:30.000,04:39:00.000,N3
04:39:00.000,04:39:30.000,N3
04:39:30.000,04:40:00.000,N3
04:40:00.000,04:40:30.000,N3
04:40:30.000,04:41:00.000,N3
04:41:00.000,04:41:30.000,N3
04:41:30.000,04:42:00.000,N3
04:42:00.000,04:42:30.000,N3
04:42:30.000,04:43:00.000,N3
04:43:00.000,04:43:30.000,N3
04:43:30.000,04:44:00.000,N3
04:44:00.000,04:44:30.000,N3
04:44:30.000,04:45:00.000,N3
04:45:00.000,04:45:30.000,N3
04:45:30.000,04:46:00.000,N3
04:46:00.000,04:46:30.000,N3
04:46:30.000,04:47:00.000,N3
04:47:00.000,04:47:30.000,N3
04:47:30.000,04:48:00.000,N3
04:48:00.000,04:48:30.000,N3
04:48:30.000,04:49:00.000,N3
04:49:00.000,04:49:30.000,N3
04:49:30.000,04:50:00.000,N3
04:50:00.000,04:50:30.000,N3
04:50:30.000,04:51:00.000,N3
04:51:00.000,04:51:30.000,N2
04:51:30.000,04:52:00.000,N2
04:52:00.000,04:52:30.000,N2
04:52:30.000,04:53:00.000,N2
04:53:00.000,04:53:30.000,N2
04:53:30.000,04:54:00.000,N2
04:54:00.000,04:54:30.000,N2
04:54:30.000,04:55:00.000,N2
04:55:00.000,04:55:30.000,N2
04:55:30.000,04:56:00.000,N2
04:56:00.000,04:56:30.000,N2
04:56:30.000,04:57:00.000,N2
04:57:00.000,04:57:30.000,Wake
04:57:30.000,04:58:00.000,Wake
04:58:00.000,04:58:30.000,Wake
04:58:30.000,04:59:00.000,Wake
04:59:00.000,04:59:30.000,Wake
04:59:30.000,05:00:00.000,Wake
05:00:00.000,05:00:30.000,Wake
05:00:30.000,05:01:00.000,Wake
05:01:00.000,05:01:30.000,Wake
05:01:30.000,05:02:00.000,Wake
05:02:00.000,05:02:30.000,Wake
05:02:30.000,05:03:00.000,Wake
05:03:00.000,05:03:30.000,Wake
05:03:30.000,05:04:00.000,Wake
05:04:00.000,05:04:30.000,Wake
05:04:30.000,05:05:00.000,Wake
05:05:00.000,05:05:30.000,Wake
05:05:30.000,05:06:00.000,N1
05:06:00.000,05:06:30.000,N1
05:06:30.000,05:07:00.000,N2
05:07:00.000,05:07:30.000,N2
05:07:30.000,05:08:00.000,N2
05:08:00.000,05:08:30.000,N2
05:08:30.000,05:09:00.000,N2
05:09:00.000,05:09:30.000,N2
05:09:30.000,05:10:00.000,N2
05:10:00.000,05:10:30.000,N2
05:10:30.000,05:11:00.000,N2
05:11:00.000,05:11:30.000,N2
05:11:30.000,05:12:00.000,N2
05:12:00.000,05:12:30.000,N2
05:12:30.000,05:13:00.000,N2
05:13:00.000,05:13:30.000,N2
05:13:30.000,05:14:00.000,N2
05:14:00.000,05:14:30.000,N2
05:14:30.000,05:15:00.000,N2
05:15:00.000,05:15:30.000,N2
05:15:30.000,05:16:00.000,N2
05:16:00.000,05:16:30.000,N2
05:16:30.000,05:17:00.000,N2
05:17:00.000,05:17:30.000,N2
05:17:30.000,05:18:00.000,N2
05:18:00.000,05:18:30.000,N2
05:18:30.000,05:19:00.000,N2
05:19:00.000,05:19:30.000,N2
05:19:30.000,05:20:00.000,N2
05:20:00.000,05:20:30.000,N2
05:20:30.000,05:21:00.000,N2
05:21:00.000,05:21:30.000,N2
05:21:30.000,05:22:00.000,N2
05:22:00.000,05:22:30.000,N2
05:22:30.000,05:23:00.000,N2
05:23:00.000,05:23:30.000,Wake
05:23:30.000,05:24:00.000,Wake
05:24:00.000,05:24:30.000,Wake
05:24:30.000,05:25:00.000,Wake
05:25:00.000,05:25:30.000,Wake
05:25:30.000,05:26:00.000,Wake
05:26:00.000,05:26:30.000,Wake
05:26:30.000,05:27:00.000,Wake
05:27:00.000,05:27:30.000,Wake
05:27:30.000,05:28:00.000,Wake
05:28:00.000,05:28:30.000,Wake
05:28:30.000,05:29:00.000,Wake
05:29:00.000,05:29:30.000,N2
05:29:30.000,05:30:00.000,N2
05:30:00.000,05:30:30.000,N2
05:30:30.000,05:31:00.000,N2
05:31:00.000,05:31:30.000,N2
05:31:30.000,05:32:00.000,N2
05:32:00.000,05:32:30.000,N2
05:32:30.000,05:33:00.000,N2
05:33:00.000,05:33:30.000,N2
05:33:30.000,05:34:00.000,N2
05:34:00.000,05:34:30.000,N2
05:34:30.000,05:35:00.000,N2
05:35:00.000,05:35:30.000,N2
05:35:30.000,05:36:00.000,N3
05:36:00.000,05:36:30.000,N3
05:36:30.000,05:37:00.000,N3
05:37:00.000,05:37:30.000,N3
05:37:30.000,05:38:00.000,N3
05:38:00.000,05:38:30.000,N3
05:38:30.000,05:39:00.000,N3
05:39:00.000,05:39:30.000,N3
05:39:30.000,05:40:00.000,N3
05:40:00.000,05:40:30.000,N3
05:40:30.000,05:41:00.000,N3
05:41:00.000,05:41:30.000,N3
05:41:30.000,05:42:00.000,N3
05:42:00.000,05:42:30.000,N3
05:42:30.000,05:43:00.000,N3
05:43:00.000,05:43:30.000,N3
05:43:30.000,05:44:00.000,N3
05:44:00.000,05:44:30.000,N3
05:44:30.000,05:45:00.000,N2
05:45:00.000,05:45:30.000,N2
05:45:30.000,05:46:00.000,N2
05:46:00.000,05:46:30.000,N2
05:46:30.000,05:47:00.000,N2
05:47:00.000,05:47:30.000,N2
05:47:30.000,05:48:00.000,N2
05:48:00.000,05:48:30.000,N2
05:48:30.000,05:49:00.000,N2
05:49:00.000,05:49:30.000,N2
05:49:30.000,05:50:00.000,Wake
05:50:00.000,05:50:30.000,Wake
05:50:30.000,05:51:00.000,Wake
05:51:00.000,05:51:30.000,Wake
05:51:30.000,05:52:00.000,Wake
05:52:00.000,05:52:30.000,Wake
05:52:30.000,05:53:00.000,Wake
05:53:00.000,05:53:30.000,Wake
05:53:30.000,05:54:00.000,Wake
05:54:00.000,05:54:30.000,Wake
05:54:30.000,05:55:00.000,N2
05:55:00.000,05:55:30.000,N2
05:55:30.000,05:56:00.000,N2
