Start Time,End Time,Sleep
05:43:00.000,05:43:30.000,N2
05:43:30.000,05:44:00.000,N2
05:44:00.000,05:44:30.000,N2
05:44:30.000,05:45:00.000,N2
05:45:00.000,05:45:30.000,N2
05:45:30.000,05:46:00.000,N2
05:46:00.000,05:46:30.000,N2
05:46:30.000,05:47:00.000,N2
05:47:00.000,05:47:30.000,N2
05:47:30.000,05:48:00.000,N2
05:48:00.000,05:48:30.000,N2
05:48:30.000,05:49:00.000,N2
05:49:00.000,05:49:30.000,N2
05:49:30.000,05:50:00.000,N2
05:50:00.000,05:50:30.000,N2
05:50:30.000,05:51:00.000,N2
05:51:00.000,05:51:30.000,N2
05:51:30.000,05:52:00.000,N2
05:52:00.000,05:52:30.000,N2
05:52:30.000,05:53:00.000,N2
05:53:00.000,05:53:30.000,N2
05:53:30.000,05:54:00.000,N2
05:54:00.000,05:54:30.000,N2
05:54:30.000,05:55:00.000,N2
05:55:00.000,05:55:30.000,N2
05:55:30.000,05:56:00.000,N2
05:56:00.000,05:56:30.000,N2
05:56:30.000,05:57:00.000,Wake
05:57:00.000,05:57:30.000,N2
05:57:30.000,05:58:00.000,N2
05:58:00.000,05:58:30.000,N2
05:58:30.000,05:59:00.000,N2
05:59:00.000,05:59:30.000,N2
05:59:30.000,06:00:00.000,N2
06:00:00.000,06:00:30.000,N2
06:00:30.000,06:01:00.000,N2
06:01:00.000,06:01:30.000,N2
06:01:30.000,06:02:00.000,N2
06:02:00.000,06:02:30.000,N2
06:02:30.000,06:03:00.000,N2
06:03:00.000,06:03:30.000,Wake
06:03:30.000,06:04:00.000,N2
06:04:00.000,06:04:30.000,N2
06:04:30.000,06:05:00.000,N2
06:05:00.000,06:05:30.000,N2
06:05:30.000,06:06:00.000,N2
06:06:00.000,06:06:30.000,N2
06:06:30.000,06:07:00.000,N2
06:07:00.000,06:07:30.000,N2
06:07:30.000,06:08:00.000,N2
06:08:00.000,06:08:30.000,N2
06:08:30.000,06:09:00.000,N2
06:09:00.000,06:09:30.000,N2
06:09:30.000,06:10:00.000,N2
06:10:00.000,06:10:30.000,N2
06:10:30.000,06:11:00.000,N2
06:11:00.000,06:11:30.000,N2
06:11:30.000,06:12:00.000,N2
06:12:00.000,06:12:30.000,N2
06:12:30.000,06:13:00.000,N2
06:13:00.000,06:13:30.000,N2
06:13:30.000,06:14:00.000,N2
06:14:00.000,06:14:30.000,N2
06:14:30.000,06:15:00.000,N2
06:15:00.000,06:15:30.000,N2
06:15:30.000,06:16:00.000,N2
06:16:00.000,06:16:30.000,N2
06:16:30.000,06:17:00.000,N2
06:17:00.000,06:17:30.000,N2
06:17:30.000,06:18:00.000,N2
06:18:00.000,06:18:30.000,N2
06:18:30.000,06:19:00.000,N2
06:19:00.000,06:19:30.000,N2
06:19:30.000,06:20:00.000,N2
06:20:00.000,06:20:30.000,N2
06:20:30.000,06:21:00.000,N2
06:21:00.000,06:21:30.000,N2
06:21:30.000,06:22:00.000,N2
06:22:00.000,06:22:30.000,N2
06:22:30.000,06:23:00.000,N2
06:23:00.000,06:23:30.000,N2
06:23:30.000,06:24:00.000,N2
06:24:00.000,06:24:30.000,N2
06:24:30.000,06:25:00.000,N2
06:25:00.000,06:25:30.000,N2
06:25:30.000,06:26:00.000,N2
06:26:00.000,06:26:30.000,N2
06:26:30.000,06:27:00.000,N2
06:27:00.000,06:27:30.000,N2
06:27:30.000,06:28:00.000,N2
06:28:00.000,06:28:30.000,N2
06:28:30.000,06:29:00.000,N2
06:29:00.000,06:29:30.000,N2
06:29:30.000,06:30:00.000,N2
06:30:00.000,06:30:30.000,N2
06:30:30.000,06:31:00.000,N2
06:31:00.000,06:31:30.000,N3
06:31:30.000,06:32:00.000,N3
06:32:00.000,06:32:30.000,N3
06:32:30.000,06:33:00.000,N3
06:33:00.000,06:33:30.000,N3
06:33:30.000,06:34:00.000,N3
06:34:00.000,06:34:30.000,N3
06:34:30.000,06:35:00.000,N3
06:35:00.000,06:35:30.000,N3
06:35:30.000,06:36:00.000,N3
06:36:00.000,06:36:30.000,N3
06:36:30.000,06:37:00.000,N3
06:37:00.000,06:37:30.000,N3
06:37:30.000,06:38:00.000,N3
06:38:00.000,06:38:30.000,N3
06:38:30.000,06:39:00.000,N3
06:39:00.000,06:39:30.000,N3
06:39:30.000,06:40:00.000,N3
06:40:00.000,06:40:30.000,N3
06:40:30.000,06:41:00.000,N3
